Country,State,City,Date,Year,Qtr,Month,Week,Product_Level1,Product_Level2,Customer_Level1,Customer_Level2,Units,Price
0,0,0,0,2015,0,0,1,0,T14,0,0,7381,5.822
0,0,0,0,2015,0,0,2,0,T14,0,0,6631,5.835
0,0,0,0,2015,0,0,3,0,T14,0,0,3335,6.033
0,0,0,0,2015,0,0,4,0,T14,0,0,3328,6.094
0,0,0,0,2015,0,0,5,0,T14,0,0,4845,5.716
0,0,0,0,2015,0,0,6,0,T14,0,0,6613,5.785
0,0,0,0,2015,0,0,7,0,T14,0,0,7189,5.556
0,0,0,0,2015,0,0,8,0,T14,0,0,3663,5.417
0,0,0,0,2015,0,0,9,0,T14,0,0,3678,5.868
0,0,0,0,2015,0,0,10,0,T14,0,0,3511,6.01
0,0,0,0,2015,0,0,11,0,T14,0,0,6181,5.766
0,0,0,0,2015,0,0,12,0,T14,0,0,5536,5.914
0,0,0,0,2015,0,0,13,0,T14,0,0,5885,5.883
0,0,0,0,2015,0,0,14,0,T14,0,0,5052,5.827
0,0,0,0,2015,0,0,15,0,T14,0,0,5491,5.899
0,0,0,0,2015,0,0,16,0,T14,0,0,12736,4.978
0,0,0,0,2015,0,0,17,0,T14,0,0,6235,5.962
0,0,0,0,2015,0,0,18,0,T14,0,0,3941,5.919
0,0,0,0,2015,0,0,19,0,T14,0,0,6039,5.918
0,0,0,0,2015,0,0,20,0,T14,0,0,6319,5.928
0,0,0,0,2015,0,0,21,0,T14,0,0,6264,5.974
0,0,0,0,2015,0,0,22,0,T14,0,0,6129,5.977
0,0,0,0,2015,0,0,23,0,T14,0,0,6390,5.905
0,0,0,0,2015,0,0,24,0,T14,0,0,6090,5.975
0,0,0,0,2015,0,0,25,0,T14,0,0,6591,5.977
0,0,0,0,2015,0,0,26,0,T14,0,0,7630,5.977
0,0,0,0,2015,0,0,27,0,T14,0,0,2553,6.956
0,0,0,0,2015,0,0,28,0,T14,0,0,1840,6.842
0,0,0,0,2015,0,0,29,0,T14,0,0,1643,6.667
0,0,0,0,2015,0,0,30,0,T14,0,0,6276,5.901
0,0,0,0,2015,0,0,31,0,T14,0,0,5989,5.95
0,0,0,0,2015,0,0,32,0,T14,0,0,5810,5.937
0,0,0,0,2015,0,0,33,0,T14,0,0,5895,5.974
0,0,0,0,2015,0,0,34,0,T14,0,0,3516,5.922
0,0,0,0,2015,0,0,35,0,T14,0,0,4962,5.874
0,0,0,0,2015,0,0,36,0,T14,0,0,5418,5.942
0,0,0,0,2015,0,0,37,0,T14,0,0,4542,5.944
0,0,0,0,2015,0,0,38,0,T14,0,0,6775,5.916
0,0,0,0,2015,0,0,39,0,T14,0,0,4802,5.895
0,0,0,0,2015,0,0,40,0,T14,0,0,6473,5.951
0,0,0,0,2015,0,0,41,0,T14,0,0,5540,5.938
0,0,0,0,2015,0,0,42,0,T14,0,0,5379,5.965
0,0,0,0,2015,0,0,43,0,T14,0,0,5199,5.969
0,0,0,0,2015,0,0,44,0,T14,0,0,4327,5.874
0,0,0,0,2015,0,0,45,0,T14,0,0,5755,5.93
0,0,0,0,2015,0,0,46,0,T14,0,0,3494,5.972
0,0,0,0,2015,0,0,47,0,T14,0,0,5764,5.975
0,0,0,0,2015,0,0,48,0,T14,0,0,7644,5.975
0,0,0,0,2015,0,0,49,0,T14,0,0,4267,5.97
0,0,0,0,2015,0,0,50,0,T14,0,0,6001,5.962
0,0,0,0,2015,0,0,51,0,T14,0,0,6292,5.954
0,0,0,0,2015,0,0,52,0,T14,0,0,7622,5.969
0,0,0,0,2016,0,0,1,0,T14,0,0,4216,5.977
0,0,0,0,2016,0,0,2,0,T14,0,0,14692,4.998
0,0,0,0,2016,0,0,3,0,T14,0,0,1559,6.989
0,0,0,0,2016,0,0,4,0,T14,0,0,2819,6.081
0,0,0,0,2016,0,0,5,0,T14,0,0,4048,5.974
0,0,0,0,2016,0,0,6,0,T14,0,0,4477,5.973
0,0,0,0,2016,0,0,7,0,T14,0,0,3361,5.885
0,0,0,0,2016,0,0,8,0,T14,0,0,4437,5.954
0,0,0,0,2016,0,0,9,0,T14,0,0,5419,5.964
0,0,0,0,2016,0,0,10,0,T14,0,0,7449,5.972
0,0,0,0,2016,0,0,11,0,T14,0,0,7147,5.939
0,0,0,0,2016,0,0,12,0,T14,0,0,7592,5.877
0,0,0,0,2016,0,0,13,0,T14,0,0,6619,5.969
0,0,0,0,2016,0,0,14,0,T14,0,0,6761,5.885
0,0,0,0,2016,0,0,15,0,T14,0,0,6231,5.9
0,0,0,0,2016,0,0,16,0,T14,0,0,7287,5.971
0,0,0,0,2016,0,0,17,0,T14,0,0,6730,5.94
0,0,0,0,2016,0,0,18,0,T14,0,0,6301,5.956
0,0,0,0,2016,0,0,19,0,T14,0,0,3636,5.936
0,0,0,0,2016,0,0,20,0,T14,0,0,6106,5.882
0,0,0,0,2016,0,0,21,0,T14,0,0,5573,5.972
0,0,0,0,2016,0,0,22,0,T14,0,0,11222,4.976
0,0,0,0,2016,0,0,23,0,T14,0,0,5396,5.971
0,0,0,0,2016,0,0,24,0,T14,0,0,5603,5.964
0,0,0,0,2016,0,0,25,0,T14,0,0,6348,5.934
0,0,0,0,2016,0,0,26,0,T14,0,0,4214,5.819
0,0,0,0,2016,0,0,27,0,T14,0,0,5177,5.977
0,0,0,0,2016,0,0,28,0,T14,0,0,5975,5.976
0,0,0,0,2016,0,0,29,0,T14,0,0,3448,5.97
0,0,0,0,2016,0,0,30,0,T14,0,0,6036,5.852
0,0,0,0,2016,0,0,31,0,T14,0,0,6085,5.887
0,0,0,0,2016,0,0,32,0,T14,0,0,6514,5.901
0,0,0,0,2016,0,0,33,0,T14,0,0,5326,5.961
0,0,0,0,2016,0,0,34,0,T14,0,0,3264,5.944
0,0,0,0,2016,0,0,35,0,T14,0,0,15213,4.879
0,0,0,0,2016,0,0,36,0,T14,0,0,5321,5.894
0,0,0,0,2016,0,0,37,0,T14,0,0,4256,5.979
0,0,0,0,2016,0,0,38,0,T14,0,0,6302,5.888
0,0,0,0,2016,0,0,39,0,T14,0,0,3031,5.936
0,0,0,0,2016,0,0,40,0,T14,0,0,5584,5.977
0,0,0,0,2016,0,0,41,0,T14,0,0,6564,5.864
0,0,0,0,2016,0,0,42,0,T14,0,0,4704,5.963
0,0,0,0,2016,0,0,43,0,T14,0,0,6452,5.972
0,0,0,0,2016,0,0,44,0,T14,0,0,3414,5.959
0,0,0,0,2016,0,0,45,0,T14,0,0,2927,5.891
0,0,0,0,2016,0,0,46,0,T14,0,0,2944,5.939
0,0,0,0,2016,0,0,47,0,T14,0,0,5226,5.879
0,0,0,0,2016,0,0,48,0,T14,0,0,3727,5.727
0,0,0,0,2016,0,0,49,0,T14,0,0,5869,5.934
0,0,0,0,2016,0,0,50,0,T14,0,0,7111,5.95
0,0,0,0,2016,0,0,51,0,T14,0,0,11400,5.731
0,0,0,0,2016,0,0,52,0,T14,0,0,8340,6.106
0,0,0,0,2017,0,0,1,0,T14,0,0,5799,5.8995
0,0,0,0,2017,0,0,2,0,T14,0,0,10662,5.4165
0,0,0,0,2017,0,0,3,0,T14,0,0,2447,6.511
0,0,0,0,2017,0,0,4,0,T14,0,0,3074,6.0875
0,0,0,0,2017,0,0,5,0,T14,0,0,4447,5.845
0,0,0,0,2017,0,0,6,0,T14,0,0,5545,5.879
0,0,0,0,2017,0,0,7,0,T14,0,0,5275,5.7205
0,0,0,0,2017,0,0,8,0,T14,0,0,4050,5.6855
0,0,0,0,2017,0,0,9,0,T14,0,0,4549,5.916
0,0,0,0,2017,0,0,10,0,T14,0,0,5480,5.991
0,0,0,0,2017,0,0,11,0,T14,0,0,6664,5.8525
0,0,0,0,2017,0,0,12,0,T14,0,0,6564,5.8955
0,0,0,0,2017,0,0,13,0,T14,0,0,6252,5.926
0,0,0,0,2017,0,0,14,0,T14,0,0,5907,5.856
0,0,0,0,2017,0,0,15,0,T14,0,0,5861,5.8995
0,0,0,0,2017,0,0,16,0,T14,0,0,10012,5.4745
0,0,0,0,2017,0,0,17,0,T14,0,0,6483,5.951
0,0,0,0,2017,0,0,18,0,T14,0,0,5121,5.9375
0,0,0,0,2017,0,0,19,0,T14,0,0,4838,5.927
0,0,0,0,2017,0,0,20,0,T14,0,0,6213,5.905
0,0,0,0,2017,0,0,21,0,T14,0,0,5919,5.973
0,0,0,0,2017,0,0,22,0,T14,0,0,8676,5.4765
0,0,0,0,2017,0,0,23,0,T14,0,0,5893,5.938
0,0,0,0,2017,0,0,24,0,T14,0,0,5847,5.9695
0,0,0,0,2017,0,0,25,0,T14,0,0,6470,5.9555
0,0,0,0,2017,0,0,26,0,T14,0,0,5922,5.898
0,0,0,0,2017,0,0,27,0,T14,0,0,3865,6.4665
0,0,0,0,2017,0,0,28,0,T14,0,0,3908,6.409
0,0,0,0,2017,0,0,29,0,T14,0,0,2546,6.3185
0,0,0,0,2017,0,0,30,0,T14,0,0,6156,5.8765
0,0,0,0,2017,0,0,31,0,T14,0,0,6037,5.9185
